LOSSDESCRIPTION,ExtraThresold,REPORTABLEAMOUNT,ExcessPaidAmt
Burn or scald - heat or cold exposures - contact with,3433817.8349422403,5080000.0,67.59483927051654
Explosion,489409.6383030742,727918.99,67.23408030652892
Missed departure,5600.8892038432095,13347.970000000001,41.96060677273929
Cancellation,250.86328733729943,1091.15,22.990724220986976
Theft of entire vehicle,2197.159409341456,14800.0,14.845671684739568
Crash of water vehicle,1129.1870411068908,9350.0,12.07686674980632
Animal/insect bite/scratch/sting,5281.950590702361,51618.240000000005,10.232721206113112
Collision while turning left,1208.3315833238667,11851.23,10.19583269689194
Abandonment,0.0,5.0,0.0
Collision with motor vehicle,0.0,2100.0,0.0
Hail,0.0,50.29,0.0
Malicious mischief and vandalism,0.0,2000.0,0.0
