LOADCOMMANDID,COVERAGETYPE,CREATEUSERID,PUBLICID,PROFILEID,COSTTYPE,BEANVERSION,RETIRED,CREATETIME,POLICYTYPE,UPDATEUSERID,LIMITAMOUNT,LIMITTYPE,UPDATETIME,ID
,,3,PICCLimit:1,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42337
,,3,PICCLimit:2,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42338
,,3,PICCLimit:4,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42339
,,3,PICCLimit:5,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42340
,,3,PICCLimit:6,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42341
,,3,PICCLimit:7,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42342
,,3,PICCLimit:8,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42343
,,3,PICCLimit:9,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42344
,,3,PICCLimit:10,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42345
,,3,PICCLimit:11,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42346
,,3,PICCLimit:13,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42347
,,3,PICCLimit:14,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42348
,,3,PICCLimit:15,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42349
,,3,PICCLimit:28,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42350
,,3,PICCLimit:29,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42351
,,3,PICCLimit:33,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42352
,,3,PICCLimit:34,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42353
,,3,PICCLimit:130,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42354
,,3,PICCLimit:236,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42355
,,3,PICCLimit:241,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42356
,,3,PICCLimit:242,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42357
,,3,PICCLimit:243,4,10001.0,0,0,2018-08-02 15:30:57.167,,3,5000.0,7,2018-08-02 15:30:57.167,42358
,,3,PICCLimit:247,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42359
,,3,PICCLimit:248,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42360
,,3,PICCLimit:249,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42361
,,3,PICCLimit:250,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42362
,,3,PICCLimit:251,4,1.0,0,0,2018-08-02 15:30:57.167,,3,15000.0,9,2018-08-02 15:30:57.167,42363
,,3,PICCLimit:252,4,1.0,0,0,2018-08-02 15:30:57.167,,3,15000.0,9,2018-08-02 15:30:57.167,42364
,,3,PICCLimit:254,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42365
,,3,PICCLimit:255,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42366
,,3,PICCLimit:256,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42367
,,3,PICCLimit:257,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42368
,,3,PICCLimit:258,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42369
,,3,PICCLimit:259,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42370
,,3,PICCLimit:260,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42371
,,3,PICCLimit:262,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42372
,,3,PICCLimit:263,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42373
,,3,PICCLimit:264,4,1.0,0,0,2018-08-02 15:30:57.167,,3,500000.0,3,2018-08-02 15:30:57.167,42374
,,3,PICCLimit:266,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42375
,,3,PICCLimit:267,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42376
,,3,PICCLimit:268,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42377
,,3,PICCLimit:269,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42378
,,3,PICCLimit:270,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42379
,,3,PICCLimit:271,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42380
,,3,PICCLimit:272,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42381
,,3,PICCLimit:273,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42382
,,3,PICCLimit:275,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42383
,,3,PICCLimit:276,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42384
,,3,PICCLimit:277,4,1.0,0,0,2018-08-02 15:30:57.167,,3,25000.0,7,2018-08-02 15:30:57.167,42385
,,3,PICCLimit:279,4,1.0,0,0,2018-08-02 15:30:57.167,,3,15000.0,9,2018-08-02 15:30:57.167,42386
,,3,PICCLimit:280,4,1.0,0,0,2018-08-02 15:30:57.167,,3,15000.0,9,2018-08-02 15:30:57.167,42387
,,3,PICCLimit:281,4,1.0,0,0,2018-08-02 15:30:57.167,,3,15000.0,9,2018-08-02 15:30:57.167,42388
,,3,PICCLimit:282,4,1.0,0,0,2018-08-02 15:30:57.167,,3,15000.0,9,2018-08-02 15:30:57.167,42389
,,3,PICCLimit:283,4,1.0,0,0,2018-08-02 15:30:57.167,,3,15000.0,9,2018-08-02 15:30:57.167,42390
